 Max dif between elements (Analytical and Numerical)   1.6875389974302379E-014

 Max dif between elements (Real and K-space)   1.3322676295501878E-015

     Analytical                Real Space                K-Space
   2.3316600178327511        2.3316600178327525        2.3316600178327520     
   2.3913382865155719        2.3913382865155719        2.3913382865155719     
   2.3913382865155723        2.3913382865155728        2.3913382865155719     
   2.5320888862379562        2.5320888862379540        2.5320888862379567     
   2.5320888862379562        2.5320888862379580        2.5320888862379567     
   2.5320888862379562        2.5320888862379580        2.5320888862379571     
   2.5320888862379562        2.5320888862379620        2.5320888862379571     
   2.6287122657689235        2.6287122657689195        2.6287122657689235     
   2.6287122657689235        2.6287122657689208        2.6287122657689235     
   2.6287122657689235        2.6287122657689261        2.6287122657689239     
   2.6287122657689235        2.6287122657689279        2.6287122657689239     
   2.6778580002777064        2.6778580002777019        2.6778580002777068     
   2.6778580002777064        2.6778580002777055        2.6778580002777068     
   2.6778580002777068        2.6778580002777064        2.6778580002777073     
   2.6778580002777068        2.6778580002777157        2.6778580002777073     
   2.8793852415718164        2.8793852415718146        2.8793852415718160     
   2.8793852415718164        2.8793852415718160        2.8793852415718160     
   2.8793852415718169        2.8793852415718177        2.8793852415718160     
   2.8793852415718169        2.8793852415718248        2.8793852415718169     
   3.0000000000000004        2.9999999999999987        3.0000000000000009     
   3.0000000000000004        3.0000000000000036        3.0000000000000009     
   3.0749475389349676        3.0749475389349672        3.0749475389349685     
   3.0749475389349676        3.0749475389349681        3.0749475389349685     
   3.2089330550226771        3.2089330550226745        3.2089330550226771     
   3.2089330550226771        3.2089330550226758        3.2089330550226771     
   3.2089330550226771        3.2089330550226762        3.2089330550226771     
   3.2089330550226771        3.2089330550226856        3.2089330550226776     
   3.2770139505290907        3.2770139505290818        3.2770139505290912     
   3.2770139505290907        3.2770139505290885        3.2770139505290912     
   3.2770139505290907        3.2770139505290889        3.2770139505290912     
   3.2770139505290907        3.2770139505290903        3.2770139505290912     
   3.4953319612640072        3.4953319612640037        3.4953319612640072     
   3.4953319612640072        3.4953319612640064        3.4953319612640072     
   3.4953319612640072        3.4953319612640077        3.4953319612640072     
   3.4953319612640072        3.4953319612640201        3.4953319612640081     
   3.6457513110645907        3.6457513110645858        3.6457513110645907     
   3.6457513110645907        3.6457513110645912        3.6457513110645907     
   3.7224022714892402        3.7224022714892282        3.7224022714892393     
   3.7224022714892402        3.7224022714892349        3.7224022714892397     
   3.7224022714892402        3.7224022714892393        3.7224022714892406     
   3.7224022714892402        3.7224022714892402        3.7224022714892415     
   3.8793852415718169        3.8793852415718195        3.8793852415718169     
   3.8793852415718169        3.8793852415718244        3.8793852415718169     
   3.9595220024766893        3.9595220024766911        3.9595220024766893     
   3.9595220024766893        3.9595220024766928        3.9595220024766893     
